1,wheel have scent,0,0
1,stamen involve plant,0,1
0,person carry elephant,1,1
0,earthworm eat meat,0,0
1,spinach have leave,1,0
1,mouse have hair,1,0
0,person bury regret,1,0
0,jailbird involve entertainment,0,0
1,stereo play disc,0,0
1,human have eye,1,1
1,sweetheart have feeling,1,0
1,flathead have smell,0,0
0,person move mountain,1,0
0,recipient emit odor,1,0
1,schooner use gas,0,0
1,fountain play music,0,1
0,sixpence have wheel,0,0
1,bikini have color,0,0
0,busman involve construction,0,0
1,person touch exerciser,1,0
0,kiwi have pit,0,0
1,person see highschool,1,0
0,sacker sell stuff,1,0
1,telemarketer involve number,0,0
0,clergy use electricity,0,0
0,person ride mouse,1,1
0,person eat litmus,1,0
1,carriage have wheel,0,0
1,eatery have smell,0,0
0,person smash scar,1,0
0,refinery involve education,0,0
0,person read thumb,1,0
0,hayloft have glass,0,0
0,person use labeler,1,0
0,contracts have nose,0,0
1,rain ruin tuxedo,0,0
1,okra have flower,0,1
0,notes have job,0,0
0,man carry guestroom,1,0
0,people use fracture,1,0
1,bottle hold water,0,1
0,egg have leg,1,0
1,tv use electicity,0,0
1,person hold baseball,1,0
0,microwave need water,0,1
1,people eat duckweed,1,0
1,people like embassy,1,0
0,person build rosebush,1,1
0,person wear typist,1,0
1,landmark have roof,0,0
0,person eat walked,1,0
1,person touch router,1,0
1,box have one,0,1
1,people use lamppost,1,0
1,hustler speak language,0,0
1,person hold truffle,1,0
1,vase cost $,0,0
1,person hold sage,1,0
1,horse have leg,1,0
1,camera involve computer,0,0
0,person find interior,1,1
0,whetstone have button,0,0
0,person eat bookmark,1,0
1,contract involve secretary,0,1
1,hairdryer make noise,0,0
1,pump have motor,0,0
0,collarbone have fur,0,0
1,person see driveway,1,0
0,human eat friend,1,1
0,cattleman involve office,0,1
1,roast contain meat,0,0
0,hope kill bacteria,0,1
0,person pour chair,1,1
0,pickle have cord,0,0
1,person touch springboard,1,0
1,person eat inquisitor,1,0
0,vase use electricity,0,0
0,fire hydrant emit light,0,1
1,park involve childrean,0,0
0,malaria involve person,0,1
0,trainload create something,0,0
0,synagogue take battery,0,1
1,kid use spade,1,0
1,dispenser hold beverage,0,0
1,cityscape have color,0,0
0,weight use electricity,0,0
0,kid have pincer,1,0
0,person smash keratin,1,0
1,restaurant involve food,0,0
0,person drive cartoon,1,0
1,syllabus involve crowd,0,0
1,family eat grass,1,1
1,restaurant serve lime,0,1
1,karate involve fighting,0,0
1,person see appointee,1,1
0,shack involve water,0,1
1,rhino eat grass,0,1
0,person eat collaborator,1,1
1,intern cost money,1,0
0,person drive methanol,1,0
1,alehouse require construction,0,0
0,hydroxide require work,0,0
1,mug cost lot,0,0
0,person eat midterm,1,0
0,bottle use electricity,0,0
1,guide make noise,1,0
0,person hold sun,1,1
0,person ride schoolbook,1,0
0,person eat submit,1,0
1,people use polyethylene,1,0
1,dog make noise,1,0
1,sparkplug use electricity,0,0
0,person wear midterm,1,0
0,hunchback take degree,0,0
0,person wear pills,1,0
0,shopper involve degree,1,0
1,kid use valve,1,0
0,broccoli have tooth,1,0
1,person touch scruff,1,0
0,infield provide shelter,0,0
1,corn have resemblance,1,0
0,everyone want puff,0,0
1,people share earplugs,1,0
0,triceratops have fur,0,0
0,fish have fur,1,0
0,person grow jellyfish,1,0
0,tinplate use electricity,0,0
1,person touch log,1,0
1,person open grille,1,0
0,cartographer involve politics,0,0
0,president pay $,1,0
1,donkey have fur,1,0
1,person smash chinaware,1,0
1,telegrapher have color,1,0
0,person hold seminary,1,0
1,city have building,1,0
0,pantry require uniform,0,0
0,spinout involve weapon,0,0
0,people like prison,1,0
0,person plant collar,1,0
0,yolk have liquor,0,0
0,person hold massive,1,0
1,painting have face,0,1
0,crematorium save life,0,1
0,sleep have arm,0,1
0,person drive bioluminescence,1,0
0,person earn stargazer,1,0
0,fingerprint make noise,1,0
1,bulb give light,0,1
0,person hold up,1,0
0,meat contain flavor,0,0
0,person smell constellation,1,0
0,vampire involve breathing,1,0
0,person eat mite,1,0
0,person use daggers,1,0
1,holder cost money,1,0
0,person eat sewage,1,0
1,boat use seat,0,0
1,person find load,1,0
1,backpack have wheel,0,0
1,dragon breath fire,1,0
0,animal eat conduct,1,0
0,person wear archives,1,0
0,technician involve food,1,0
0,person buy stinks,1,0
1,cabinet store something,1,0
1,person carry dart,1,0
0,burrito use battery,0,1
0,snake have leg,1,0
0,person wear webmaster,1,0
0,shoot involve food,0,0
1,checkers have lot,0,0
0,person use whale,1,1
0,frog have fur,1,0
0,burrow have tree,0,1
0,person store hospital,1,0
0,waterwheel require electricty,0,0
1,play cost money,0,0
1,crown help human,0,1
1,person hold tissue,1,0
1,cattleman involve animal,0,1
1,squid have leg,0,0
0,compost have plug,0,0
1,child like kid,1,1
0,smokescreen involve wafe,0,0
0,monogram use water,0,1
0,vodka need sunlight,0,0
1,dove have tail,1,0
1,slap make noise,0,0
1,person eat croaker,1,0
0,crasher operate engine,0,0
1,puma have fur,0,0
1,doctor have job,1,0
0,pourer tell time,0,0
0,honker have screen,0,0
0,clitoris have brain,0,1
1,child use case,1,1
1,people use beverage,1,0
0,hope have poison,0,0
0,soda involve building,0,0
0,person hold tearoom,1,0
1,tea cost money,0,0
1,gladiator require skill,0,0
1,lights require electricity,1,0
1,person hold ruler,1,1
1,statesman involve kid,1,1
1,people use butter,1,0
1,electricity inflict pain,0,0
1,person hold hippo,1,0
0,person hold lavatory,1,0
1,kid use kettledrum,1,0
0,crab have scale,1,0
0,tit cut hair,0,0
0,person drive triage,1,0
0,research have color,0,0
1,litmus have purpose,0,0
1,person hold narcotics,1,0
1,person hear mosquito,1,1
1,jug hold water,0,1
1,fax require electricity,0,0
0,field require sorce,1,0
1,woman wear dress,1,0
0,voiceing have handle,0,0
0,swarm cost money,0,0
0,mute make noise,0,0
0,tonic involve work,0,0
0,scan have flower,0,1
0,person buy talent,1,1
0,person feed worth,1,0
1,pheasant have tail,0,0
0,person touch time,1,0
1,person touch vermouth,1,0
1,toaster have switch,0,0
1,muskrat have fur,0,0
0,bridge have face,0,1
0,rain have handle,0,0
0,person eat tinderbox,1,0
0,person use presoak,1,0
1,speakers make sound,1,0
1,mouse have leg,1,0
0,mongrel involve writing,0,0
1,captain require work,1,0
1,fighter make noise,1,0
0,person wear drill,1,0
1,cart have wheel,0,0
1,fawn have fur,0,0
0,dump involve entertainment,0,0
1,person buy school,1,1
0,snake have fur,1,0
0,oregano have heart,1,0
0,swimming involve driving,0,0
1,person touch target,1,1
0,people eat warrior,1,1
1,tree have leave,1,0
1,goddaughter wear makeup,0,0
0,person read mouse,1,1
1,person touch pebble,1,0
0,person use sawmill,1,0
0,person eat dumbwaiter,1,0
0,complete involve ethnicity,0,0
1,hobby make noise,0,0
1,family have heartbeat,1,0
0,shedder have wheel,0,0
1,terminal cost money,0,0
